Category Name,Course Name,Course URL,First Instructor,Course Description,# of Students,# of Ratings
Data Science,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",https://www.coursera.org/learn/introduction-tensorflow,NaN,None,"310,234","17,958"
Data Science,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics,NaN,"Prepare for a new career in the high-growth field of data analytics, no experience or degree required. Get professional training designed by Google and have the opportunity to connect with top employers. There are 380,000 U.S. job openings in data analytics with a $74,000 median entry-level salary.¹

Data analytics is the collection, transformation, and organization of data in order to draw conclusions, make predictions, and drive informed decision making.

Over 8 courses, gain in-demand skills that prepare you for an entry-level job. You’ll learn from Google employees whose foundations in data analytics served as launchpads for their own careers. At under 10 hours per week, you can complete the certificate in less than 6 months.

You’ll prepare yourself for jobs that include junior or associate data analyst, database administrator, and more. Upon completion of the certificate, you can directly apply for jobs with Google and over 150 U.S. employers, including Walmart, Best Buy, Astreya.

75% of Google Career Certificate Graduates in the United States report an improvement in their career trajectory (e.g. new job or career, promotion or raise) within 6 months of certificate completion²

¹US Burning Glass Labor Insight Report salary data (median with 0-5 years experience) and job opening data. Data for job roles relevant to featured programs (4/01/2021 - 3/31/22).

²Based on program graduate survey responses, United States 2021","1,177,520","88,360"
Data Science,"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,NaN,None,"1,300,766","65,743"
Data Science,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,NaN,NaN,NaN,"59,351"
Data Science,Data Science,https://www.coursera.org/specializations/jhu-data-science,"Jeff Leek, PhD","Ask the right questions, manipulate data sets, and create visualizations to communicate results.

This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, you’ll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.","469,526","38,357"
Data Science,Deep Learning,https://www.coursera.org/specializations/deep-learning,Andrew Ng,"The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology.

In this Specialization, you will build and train neural network architectures such as Convolutional Neural Networks, Recurrent Neural Networks, LSTMs, Transformers, and learn how to make them better with strategies such as Dropout, BatchNorm, Xavier/He initialization, and more. Get ready to master theoretical concepts and their industry applications using Python and TensorFlow and tackle real-world cases such as speech recognition, music synthesis, chatbots, machine translation, natural language processing, and more.

AI is transforming many industries. The Deep Learning Specialization provides a pathway for you to take the definitive step in the world of AI by helping you gain the knowledge and skills to level up your career. Along the way, you will also get career advice from deep learning experts from industry and academia.","718,888","127,175"
Data Science,Neural Networks and Deep Learning,https://www.coursera.org/learn/neural-networks-deep-learning,Andrew Ng,None,"1,125,787","116,634"
Data Science,Data Science: Foundations using R,https://www.coursera.org/specializations/data-science-foundations-r,"Jeff Leek, PhD","Ask the right questions, manipulate data sets, and create visualizations to communicate results.

This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.","93,844","5,734"
Data Science,IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,NaN,NaN,NaN,"9,235"
Data Science,Python Data Structures,https://www.coursera.org/learn/python-data,NaN,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook “Python for Everybody”.  This course covers Python 3.","903,788","91,118"
Data Science,Excel Skills for Business,https://www.coursera.org/specializations/excel,Nicky Bull,"This specialization is intended for anyone who seeks to develop one of the most critical and fundamental digital skills today. Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In the United States alone, millions of job advertisements requiring Excel skills are posted every day. Research by Burning Glass Technologies and Capital One shows that digital skills lead to higher income and better employment opportunities. At a time when digital skills jobs are growing much faster than non-digital jobs, completing this specialization will position you way ahead of others.

In this Specialization, learners develop advanced Excel Skills for Business. Upon completing the four courses in this Specialization, learners can design sophisticated spreadsheets, including professional dashboards, and perform complex calculations using advanced Excel features and techniques. Learners have acquired the skills to manage large datasets efficiently, extract meaningful information from datasets, present data and extract information effectively. In addition, learners have mastered the skills needed to validate data and prevent errors in spreadsheets, create automation, apply advanced formulas and conditional logic to help make decisions and create spreadsheets that help forecast and model data.","431,168","40,938"
Data Science,Applied Data Science with Python,https://www.coursera.org/specializations/data-science-python,Christopher Brooks,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.","354,003","25,168"
Data Science,Introduction to Data Science,https://www.coursera.org/specializations/introduction-data-science,Rav Ahuja,"Interested in learning more about data science, but don’t know where to start? This 4-course Specialization from IBM will provide you with the key foundational skills any data scientist needs to prepare you for a career in data science or further advanced learning in the field.

This Specialization will introduce you to what data science is and what data scientists do. You’ll discover the applicability of data science across fields, and learn how data analysis can help you make data driven decisions. You’ll find that you can kickstart your career path in the field without prior knowledge of computer science or programming languages: this Specialization will give you the foundation you need for more advanced learning to support your career goals.

You’ll grasp concepts like big data, statistical analysis, and relational databases, and gain familiarity with various open source tools and data science programs used by data scientists, like Jupyter Notebooks, RStudio, GitHub, and SQL. You'll complete hands-on labs and projects to learn the methodology involved in tackling data science problems and apply your newly acquired skills and knowledge to real world data sets.

In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in data science foundations.

This Specialization can also be applied toward the IBM Data Science Professional Certificate.","71,829","11,527"
Data Science,Assess for Success: Marketing Analytics and Measurement,https://www.coursera.org/learn/assess-for-success,NaN,None,"23,704",315
Data Science,IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,Rav Ahuja,"Gain the job-ready skills for an entry-level data analyst role through this Professional Certificate from IBM and position yourself competitively in the thriving job market for data analysts, which will see a 20% growth until 2028 (U.S. Bureau of Labor Statistics).

Power your data analyst career by learning the core principles of data analysis and gaining hands-on skills practice. You’ll work with a variety of data sources, project scenarios, and data analysis tools, including Excel, SQL, Python, Jupyter Notebooks, and Cognos Analytics, gaining practical experience with data manipulation and applying analytical techniques.

This Professional Certificate does not require any prior programming or statistical skills, and is suitable for learners with or without college degrees. All you need to get started is basic computer literacy, high school math, comfort working with numbers, willingness to learn, and a desire to enrich your profile with valuable skills.

Upon successful completion of this program, you’ll have analyzed real-world datasets, created interactive dashboards, and presented reports to share your findings, giving you the confidence and the portfolio to begin a career as an associate or junior data analyst. You’ll also build the foundation for other data disciplines such as data science or data engineering.

This program is ACE® recommended—when you complete, you can earn up to 12 college credits.","89,701","10,484"
Data Science,Applied Data Science with Python,https://www.coursera.org/specializations/data-science-python,Christopher Brooks,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.","354,003","25,168"
Data Science,Ask Questions to Make Data-Driven Decisions,https://www.coursera.org/learn/ask-questions-make-decisions,NaN,None,"474,561","19,658"
Data Science,A Crash Course in Data Science,https://www.coursera.org/learn/data-science-course,"Jeff Leek, PhD",None,"188,396","8,012"
Data Science,Understanding and Visualizing Data with Python,https://www.coursera.org/learn/understanding-visualization-data,Brenda Gunderson,None,"109,641","2,384"
Data Science,Introduction to Data Analysis Using Excel,https://www.coursera.org/learn/excel-data-analysis,NaN,None,"232,203","9,732"
Data Science,"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,NaN,None,"1,300,766","65,743"
Data Science,The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools,"Jeff Leek, PhD","In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio.","699,310","33,424"
Data Science,Introduction to R Programming for Data Science,https://www.coursera.org/learn/introducton-r-programming-data-science,NaN,None,"15,850",206
Data Science,Introduction to Data Engineering,https://www.coursera.org/learn/introduction-to-data-engineering,Rav Ahuja,None,"58,421","1,307"
Data Science,SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,NaN,None,"464,692","13,966"
Data Science,"Dasar-dasar Analitik Data: Data, Data di Mana-mana",https://www.coursera.org/learn/dasar-dasar-analitik-data-data-data-di-mana-mana,NaN,None,"9,103",725
Data Science,Advanced Learning Algorithms,https://www.coursera.org/learn/advanced-learning-algorithms,Andrew Ng,None,"52,052","1,054"
Data Science,"Unsupervised Learning, Recommenders, Reinforcement Learning",https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning,Andrew Ng,None,"37,772",462
Data Science,Spatial Analysis and Satellite Imagery in a GIS,https://www.coursera.org/learn/spatial-analysis-satellite-imagery-in-a-gis,NaN,None,"21,764",492
Data Science,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,https://www.coursera.org/learn/ntumlone-algorithmicfoundations,NaN,"Machine learning is the study that allows computers to adaptively improve their performance with experience accumulated from the data observed. Our two sister courses teach the most fundamental algorithmic, theoretical and practical tools that any user of machine learning needs to know. This second course of the two would focus more on algorithmic tools, and the other course would focus more on mathematical tools. [機器學習旨在讓電腦能由資料中累積的經驗來自我進步。我們的兩項姊妹課程將介紹各領域中的機器學習使用者都應該知道的基礎演算法、理論及實務工具。本課程將較為著重方法類的工具，而另一課程將較為著重數學類的工具。]","15,052",313
Data Science,Supervised Machine Learning: Regression and Classification ,https://www.coursera.org/learn/machine-learning,Andrew Ng,None,"156,865","4,757"
Data Science,"Fundamentos: dados, dados, em todos os lugares",https://www.coursera.org/learn/fundamentos-dados-dados-em-todos-os-lugares,NaN,None,"15,850",747
Data Science,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,https://www.coursera.org/learn/ntumlone-mathematicalfoundations,NaN,"Machine learning is the study that allows computers to adaptively improve their performance with experience accumulated from the data observed. Our two sister courses teach the most fundamental algorithmic, theoretical and practical tools that any user of machine learning needs to know. This first course of the two would focus more on mathematical tools, and the other course would focus more on algorithmic tools. [機器學習旨在讓電腦能由資料中累積的經驗來自我進步。我們的兩項姊妹課程將介紹各領域中的機器學習使用者都應該知道的基礎演算法、理論及實務工具。本課程將較為著重數學類的工具，而另一課程將較為著重方法類的工具。]","42,558",891
Data Science,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,Andrew Ng,"The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online. This beginner-friendly program will teach you the fundamentals of machine learning and how to use these techniques to build real-world AI applications.

This Specialization is taught by Andrew Ng, an AI visionary who has led critical research at Stanford University and groundbreaking work at Google Brain, Baidu, and Landing.AI to advance the AI field.

This 3-course Specialization is an updated version of Andrew’s pioneering Machine Learning course, rated 4.9 out of 5 and taken by over 4.8 million learners since it launched in 2012.

It provides a broad introduction to modern machine learning, including supervised learning (multiple linear regression, logistic regression, neural networks, and decision trees), unsupervised learning (clustering, dimensionality reduction, recommender systems), and some of the best practices used in Silicon Valley for artificial intelligence and machine learning innovation (evaluating and tuning models, taking a data-centric approach to improving performance, and more.)

By the end of this Specialization, you will have mastered key concepts and gained the practical know-how to quickly and powerfully apply machine learning to challenging real-world problems. If you’re looking to break into AI or build a career in machine learning, the new Machine Learning Specialization is the best place to start.","88,006","5,340"
Data Science,Excel Skills for Business: Intermediate I,https://www.coursera.org/learn/excel-intermediate-1,Nicky Bull,None,"277,779","15,434"
Data Science,Introdução à Ciência da Computação com Python Parte 1,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,NaN,None,"208,084","6,531"
Data Science,Getting started with TensorFlow 2,https://www.coursera.org/learn/getting-started-with-tensor-flow2,NaN,None,"28,947",491
Data Science,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer,NaN,NaN,NaN,172
Data Science,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,Andrew Ng,"The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online. This beginner-friendly program will teach you the fundamentals of machine learning and how to use these techniques to build real-world AI applications.

This Specialization is taught by Andrew Ng, an AI visionary who has led critical research at Stanford University and groundbreaking work at Google Brain, Baidu, and Landing.AI to advance the AI field.

This 3-course Specialization is an updated version of Andrew’s pioneering Machine Learning course, rated 4.9 out of 5 and taken by over 4.8 million learners since it launched in 2012.

It provides a broad introduction to modern machine learning, including supervised learning (multiple linear regression, logistic regression, neural networks, and decision trees), unsupervised learning (clustering, dimensionality reduction, recommender systems), and some of the best practices used in Silicon Valley for artificial intelligence and machine learning innovation (evaluating and tuning models, taking a data-centric approach to improving performance, and more.)

By the end of this Specialization, you will have mastered key concepts and gained the practical know-how to quickly and powerfully apply machine learning to challenging real-world problems. If you’re looking to break into AI or build a career in machine learning, the new Machine Learning Specialization is the best place to start.","88,006","5,340"
Data Science,IBM Data Warehouse Engineer,https://www.coursera.org/professional-certificates/data-warehouse-engineering,Rav Ahuja,"This Professional Certificate is intended to help you develop the job-ready skills and portfolio for an entry-level Business Intelligence (BI) or Data Warehousing Engineering position. Throughout the online courses in this program, you will immerse yourself in the in-demand role of a Data Warehouse Engineer and acquire the essential skills you need to work with a range of tools and databases to design, deploy, operationalize and manage Enterprise Data Warehouses (EDW).

By the end of this Professional Certificate, you will be able to perform the key tasks required in a data warehouse engineering role. You will work with Relational Database Management Systems (RDBMS) and query data using SQL statements.

You will use Linux/UNIX shell scripts to automate repetitive tasks, and build data pipelines with tools like Apache Airflow and Kafka to Extract, Transform and Load (ETL) data. You will gain experience with managing databases and data warehouses.

Finally, you will design and populate data warehouse systems and utilize Business Intelligence tools to analyze and extract insights using reports and dashboards.

This program is suitable for anyone with a passion for learning and is suitable for you whether you have a college degree or not and does not require any prior data engineering, or programming experience.","3,073",215
Data Science,Practical Decision-Making Using No-code ML on AWS,https://www.coursera.org/learn/no-code-ml-aws,NaN,"In this course, you will discover how to solve business problems with machine learning, no coding required. You will explore Amazon SageMaker Canvas, a visual point-and-click interface that allows you to generate accurate ML predictions without requiring any machine learning experience or having to write a single line of code. At the end of the course, you will walk away understanding how to make better business decisions using no-code machine learning.",NaN,NaN
Data Science,Mathematics for Engineers,https://www.coursera.org/specializations/mathematics-engineers,NaN,"This specialization was developed for engineering students to self-study engineering mathematics. We expect students are already familiar with single variable calculus and computer programming. Students will learn matrix algebra, differential equations, vector calculus and numerical methods. MATLAB programming will be taught. Watch the promotional video!","4,521",238
Data Science,Linux and Bash for Data Engineering,https://www.coursera.org/learn/linux-and-bash-for-data-engineering-duke,Noah Gift,"In this second course of the Python, Bash and SQL Essentials for Data Engineering Specialization, you will learn the fundamentals of Linux necessary to perform data engineering tasks. Additionally, you will explore how to use both Bash and zsh configurations, and develop the syntax needed to interact and control Linux. These skills will allow you to manage and manipulate databases in a Bash environment.","2,382",22
Data Science,The Structured Query Language (SQL),https://www.coursera.org/learn/the-structured-query-language-sql,NaN,None,"16,342",264
Data Science,Business Data Management and Communication,https://www.coursera.org/specializations/business-data-management-communication,Oktay Urcan,"In a world driven by big data, it is crucial to understand how valuable information can be extracted from large volumes of data. Further, it is pivotal to utilize information to its full potential. This not only requires one to extract value from data but also to effectively communicate the information obtained. The Business Data Management and Communication Specialization is tailored to deliver a well-balanced curriculum that focuses on all three aspects - Understanding Data, Extracting Valuable Information, and Effective Communication. The courses in this Specialization will focus on advanced accounting, working with big data, communicating data and information analysis.

Topics covered include:

Understand the basics of how to analyze balance sheet and cash flow statements Understand how accrual accounting and fundamental accounting concepts work Learn how to collect, analyze, and visualize data and use the same in decision making processes Learn how to use R to communicate data analytics results Explore various ways that information can generate economic value Understand how crucial information is and learn how to gauge the potential of valuable information",NaN,16
Data Science,Work Smarter with Microsoft Excel,https://www.coursera.org/learn/microsoft-excel-work-smarter,NaN,None,"40,988",501
Data Science,Writing Secure Code in C++,https://www.coursera.org/specializations/secure-code-c,NaN,"Explore the C and C++ languages. Look at the specificity of the C/C++ languages and how this impacts security, ways C/C++ can interact with the external world, error handling, the execution environment and much more. This specialization covers C/C++ particularities a programmer needs to know to create secure programs using these languages.",NaN,NaN
Data Science,Analyzing and Visualizing Data in Looker,https://www.coursera.org/learn/analyzing-and-visualizing-data-in-looker,NaN,"In this course, you learn how to do the kind of data exploration and analysis in Looker that would formerly be done primarily by SQL developers or analysts. Upon completion of this course, you will be able to leverage Looker's modern analytics platform to find and explore relevant content in your organization’s Looker instance, ask questions of your data, create new metrics as needed, and build and share visualizations and dashboards to facilitate data-driven decision making.","12,786",261
Data Science,Meta Marketing Analytics,https://www.coursera.org/professional-certificates/facebook-marketing-analytics,Anke Audenaert,"This six-course program is designed for anyone looking to gain in-demand technical skills to kickstart a career as a marketing analyst or better analyze their business. No experience necessary.

Developed by marketing analytics experts at Aptly together with Meta marketers, the industry-relevant curriculum is designed to prepare you for jobs that include Marketing Analyst, Marketing Researcher, and more.

You’ll learn basic marketing principles, how data informs marketing decisions, and how you can apply the OSEMN data analysis framework to approach common analytics questions. You’ll learn how to use essential tools like Python and SQL to gather, connect, and analyze relevant data. Plus, common statistical methods used to segment audiences, evaluate campaign results, optimize the marketing mix, and evaluate sales funnels.

Along the way, you'll learn to visualize data using Tableau and how to use Meta Ads Manager to create campaigns, evaluate results, and run experiments to optimize your campaigns. You'll also get to practice your new skills through hands-on, industry-relevant projects.

The final course prepares you for the Meta Marketing Science Certification exam. Upon successful completion of the program, you'll earn both the Coursera and the Meta Marketing Science Certifications. You’ll also get exclusive access to the Meta Career Programs Job Board—a job search platform with 200+ top employers looking to hire skilled and certified talent.","29,720","1,253"
Data Science,SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,NaN,None,"464,692","13,966"
Data Science,"Everyday Excel, Part 1",https://www.coursera.org/learn/everyday-excel-part-1,NaN,None,"200,531","2,884"
Data Science,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer,NaN,NaN,NaN,"1,307"
Data Science,Share Data Through the Art of Visualization,https://www.coursera.org/learn/visualize-data,NaN,None,"216,826","5,100"
Data Science,Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python,NaN,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.","2,702,060","216,863"
Data Science,DeepLearning.AI TensorFlow Developer,https://www.coursera.org/professional-certificates/tensorflow-in-practice,NaN,"TensorFlow is one of the most in-demand and popular open-source deep learning frameworks available today. The DeepLearning.AI TensorFlow Developer Professional Certificate program teaches you applied machine learning skills with TensorFlow so you can build and train powerful models.

In this hands-on, four-course Professional Certificate program, you’ll learn the necessary tools to build scalable AI-powered applications with TensorFlow. After finishing this program, you’ll be able to apply your new TensorFlow skills to a wide range of problems and projects. This program can help you prepare for the Google TensorFlow Certificate exam and bring you one step closer to achieving the Google TensorFlow Certificate.

Ready to deploy your models to the world? Learn how to go live with your models with the TensorFlow: Data and Deployment Specialization.

Looking to customize and build powerful real-world models for complex scenarios? Check out the TensorFlow: Advanced Techniques Specialization.","157,777","19,417"
Data Science,Introduction to Data Science in Python,https://www.coursera.org/learn/python-data-analysis,NaN,None,"703,234","26,364"
Data Science,Mathematics for Machine Learning,https://www.coursera.org/specializations/mathematics-machine-learning,David Dye,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how it’s used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.

In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.","161,487","11,639"
Data Science,Introduction to Machine Learning in Production,https://www.coursera.org/learn/introduction-to-machine-learning-in-production,Andrew Ng,None,"65,077","2,103"
Data Science,Introduction to Probability and Data with R,https://www.coursera.org/learn/probability-intro,NaN,"This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.","253,496","5,323"
